handle,rating,maxRating,regTime,schedules,two pointers,constructive algorithms,geometry,matrices,sortings,math,ternary search,graph matchings,data structures,trees,strings,bitmasks,graphs,greedy,hashing,meet-in-the-middle,implementation,binary search,chinese remainder theorem,divide and conquer,flows,probabilities,dp,2-sat,expression parsing,string suffix structures,dsu,fft,dfs and similar,brute force,games,interactive,combinatorics,number theory,shortest paths,all,pupil,spe,exp,cm,m,im,gm,igm
udhavvarma03,2297,2297,1638098785,0,16,25,3,1,20,73,1,3,54,33,6,8,31,44,5,1,34,34,1,13,4,15,64,2,0,0,9,1,31,40,4,9,42,23,9,871.0,142.13096064814815,202.13096064814815,245.1101273148148,394.1309606481482,406.1309606481482,,,
Krydom_Yuudachi,2296,2296,1439965188,0,3,7,2,2,6,15,1,1,18,9,1,6,13,16,1,0,11,11,0,1,4,1,21,0,0,0,3,0,9,6,0,1,7,3,4,220.0,169.44805555555556,169.44805555555556,178.4688888888889,545.0730555555556,668.3438888888888,,,
PET_Informatica,2296,2296,1651698863,0,1,2,0,1,3,1,0,0,4,2,0,1,3,3,0,0,1,1,0,1,0,0,2,0,0,0,3,0,3,2,0,0,1,0,1,29.0,36.805983796296296,36.805983796296296,36.805983796296296,36.805983796296296,54.72265046296296,,,
i209M,2296,2306,1582177136,0,24,93,14,12,39,157,2,10,151,104,26,46,84,106,18,6,36,65,2,42,15,38,206,1,0,9,27,20,66,49,11,24,77,43,21,705.0,248.22643518518518,284.3722685185185,536.3722685185185,660.1847685185185,850.1431018518518,1173.268101851852,,
tem_shett,2296,2346,1526750259,0,13,50,10,3,33,65,9,4,69,43,14,24,49,81,5,1,41,42,1,16,4,10,90,2,0,4,13,1,47,43,5,17,28,12,15,1137.0,7.897465277777778,7.897465277777778,212.8870486111111,586.8905208333333,696.8870486111111,1324.8870486111111,,
waipoli,2296,2335,1557411145,1,40,76,7,9,45,141,7,8,152,83,24,42,71,125,18,4,78,70,3,38,7,20,166,3,0,2,29,6,99,104,16,20,51,52,18,1274.0,178.96012731481483,1212.0156828703705,1262.8281828703705,1561.0156828703705,1626.869849537037,1921.0156828703705,,
yoshinoprpr,2296,2307,1477099500,0,1,2,0,1,0,1,0,0,2,2,0,1,3,3,0,0,0,0,0,1,0,0,4,0,0,0,0,0,1,3,0,0,1,2,1,32.0,0.5694444444444444,0.5694444444444444,0.5694444444444444,57.38194444444444,69.53472222222223,82.59027777777777,,
Noinoiio,2295,2295,1628412379,0,17,28,5,4,17,50,3,3,59,26,6,15,21,40,6,3,29,27,0,13,3,5,58,2,0,3,10,3,28,31,4,3,22,13,6,432.0,357.22130787037037,357.22130787037037,390.2421412037037,498.2421412037037,821.2421412037037,,,
Victoriano012,2295,2364,1585993407,0,4,26,7,4,6,34,0,1,22,21,3,8,9,20,3,0,16,6,0,8,1,5,30,0,0,1,4,2,13,17,2,4,18,7,2,895.0,577.2024652777778,629.2024652777778,634.2441319444445,634.2441319444445,667.2024652777778,1351.2024652777777,,
hohomu,2295,2493,1356191861,0,12,55,15,7,31,73,3,9,96,64,21,24,83,81,10,3,33,63,3,14,15,13,111,3,0,4,31,3,78,51,9,17,30,35,16,1553.0,147.8766087962963,147.8766087962963,881.0224421296297,1036.7099421296296,1118.025914351852,1747.6300810185185,2135.984247685185,
ir5,2295,2298,1267802444,0,6,11,13,2,15,19,0,1,20,6,6,6,17,9,5,0,24,6,0,1,1,5,37,1,1,2,9,0,13,16,7,0,8,4,1,302.0,1.860601851851852,1.860601851851852,15.027268518518518,238.86060185185184,314.6939351851852,,,
miss_robot,2295,2295,1549658587,1,4,20,3,2,9,22,0,1,35,12,2,9,22,27,4,1,23,10,1,4,3,0,24,1,0,0,10,2,19,16,2,5,7,3,6,859.0,26.765196759259258,26.765196759259258,277.74436342592594,439.7513078703704,1492.744363425926,,,
Dup4,2294,2294,1515815434,0,27,53,17,9,46,79,4,4,127,57,27,36,61,95,12,3,52,47,2,25,6,15,120,1,0,12,23,0,51,56,5,17,25,34,15,1726.0,305.48918981481484,305.48918981481484,305.48918981481484,386.48918981481484,545.4475231481481,,,
Gheal,2294,2324,1541871618,0,19,57,10,6,29,101,1,2,63,25,19,29,32,72,12,2,52,37,1,15,6,14,77,1,0,4,12,3,31,76,6,17,29,29,10,1519.0,340.82965277777777,340.82965277777777,448.85048611111114,537.8713194444445,846.8504861111111,1540.8713194444445,,
Gorgo,2294,2306,1600786743,0,21,35,13,6,27,65,6,4,70,29,8,21,38,64,6,0,28,36,2,16,10,8,93,2,0,0,18,4,29,38,3,5,34,30,7,1227.0,27.98329861111111,32.83746527777778,34.98329861111111,68.98329861111111,434.98329861111114,1071.9832986111112,,
SergeyMelnikov,2294,2298,1267373616,0,2,2,0,0,1,1,1,1,3,0,1,0,2,5,0,0,2,2,0,0,0,0,4,1,0,0,2,0,2,0,0,0,0,1,0,78.0,431.9488888888889,431.9488888888889,431.9488888888889,1873.9905555555556,3517.8898611111113,,,
albatross_errantia,2294,2326,1608962626,0,4,8,0,0,7,10,1,0,7,8,2,4,7,13,2,0,5,4,1,2,0,1,9,1,0,1,6,0,9,6,1,1,3,4,0,176.0,98.35502314814815,111.35502314814815,111.35502314814815,111.35502314814815,268.3550231481481,750.2508564814815,,
skahl15,2294,2325,1543936061,0,11,16,3,3,8,38,2,2,32,16,8,13,17,28,4,0,17,19,1,6,0,2,31,1,0,2,9,0,22,20,3,7,15,13,4,1747.0,13.97730324074074,1347.9773032407406,1418.7898032407406,1642.9842476851852,1999.9773032407406,2054.9773032407406,,
RNS_KWG,2293,2293,1595468397,0,1,6,1,0,1,7,0,0,2,2,1,2,3,4,1,0,2,1,1,1,0,0,1,1,0,0,1,0,3,4,1,1,2,3,1,53.0,309.51739583333335,625.5382291666666,625.5382291666666,875.5382291666666,1353.5382291666667,,,
sv1shan,2293,2293,1639675104,0,26,62,5,3,31,114,6,2,81,17,22,28,25,99,12,2,62,50,2,11,2,10,91,0,0,2,12,0,33,73,9,14,36,39,7,1513.0,45.88652777777778,84.88652777777777,97.88652777777777,294.88652777777776,365.88652777777776,,,
A_fan_of_zhoukangyang,2292,2292,1600601571,0,3,5,1,1,4,7,0,0,8,3,4,6,3,5,2,0,2,3,0,2,0,0,4,0,0,2,1,0,3,6,0,2,4,3,1,58.0,99.12649305555556,99.12649305555556,99.12649305555556,121.12649305555556,131.12649305555556,,,
BlueBottle,2292,2292,1631975282,0,4,9,0,1,6,11,0,1,8,3,3,3,4,11,2,1,5,5,0,1,1,3,10,0,0,0,1,0,4,5,1,5,3,2,1,111.0,42.00483796296297,42.00483796296297,42.00483796296297,71.00483796296297,71.00483796296297,,,
Jellyfishgod,2292,2292,1596719465,0,1,0,1,1,3,2,0,0,9,3,1,3,3,2,0,0,2,2,0,4,1,0,7,1,0,1,2,0,3,4,0,0,0,1,0,83.0,1206.0686921296297,1206.0686921296297,1207.058275462963,1214.058275462963,1229.058275462963,,,
TimeEmergency,2292,2292,1534509732,0,1,1,0,1,1,3,1,0,2,0,0,1,1,2,0,0,0,2,0,0,0,0,3,1,0,0,1,0,1,3,0,0,1,1,0,89.0,0.07833333333333334,0.07833333333333334,7.08875,1789.0783333333334,1891.9325,,,
divergence1,2292,2292,1680080088,0,2,2,0,1,1,8,1,1,3,4,1,2,3,6,0,0,3,4,0,1,1,1,8,0,0,0,2,1,4,5,1,0,6,1,0,98.0,4.23625,6.23625,6.23625,22.23625,46.23625,,,
no___way,2292,2292,1691247495,0,1,1,0,0,3,3,0,0,2,1,1,0,1,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,1,0,2,1,0,0,30.0,105.98385416666666,105.98385416666666,177.98385416666667,177.98385416666667,285.9838541666667,,,
surajchip2,2292,2342,1497903611,0,13,14,3,2,7,50,1,3,37,21,12,15,20,28,10,2,22,22,1,11,2,8,43,1,0,3,8,0,21,36,3,6,18,16,5,464.0,460.69778935185184,460.69778935185184,985.7047337962963,1339.760289351852,2293.760289351852,2656.718622685185,,
valerikk,2292,2488,1539427771,0,38,76,11,3,57,77,6,6,112,53,21,34,76,116,7,0,61,58,2,18,4,13,125,5,0,5,26,3,61,45,4,14,34,23,20,2145.0,40.20519675925926,40.20519675925926,185.15658564814814,396.15658564814817,743.0107523148148,889.9795023148148,889.9795023148148,
EricQian,2291,2306,1581687002,0,19,69,8,15,30,107,3,6,124,68,21,58,74,76,15,2,31,41,2,32,12,16,145,5,0,6,29,6,73,60,6,12,40,24,18,763.0,8.815949074074075,8.815949074074075,211.01039351851853,593.8645601851852,638.6909490740741,883.0451157407407,,
Hexagons,2291,2291,1648655115,0,0,1,0,0,3,7,0,0,3,1,2,4,1,6,1,0,5,2,0,1,0,1,9,0,0,0,0,1,0,8,1,0,3,3,0,89.0,123.95121527777778,123.95121527777778,271.9512152777778,271.9512152777778,307.9512152777778,,,
RingedGenesis,2291,2381,1686049159,0,2,3,0,1,4,9,0,0,8,5,3,0,9,8,5,0,6,2,0,1,0,0,7,0,0,1,4,0,5,8,1,0,2,3,2,89.0,30.149780092592593,30.149780092592593,51.14978009259259,51.14978009259259,150.14978009259258,369.1497800925926,,
loyalixa,2291,2291,1713998203,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,2,0,0,0,0,0,0,1,0,0,2,0,0,54.0,25.66547453703704,25.66547453703704,39.665474537037035,61.665474537037035,63.665474537037035,,,
orzsd0061,2291,2291,1365692034,1,6,8,5,0,5,12,0,1,16,10,2,3,10,11,0,2,3,7,0,2,0,3,36,1,0,1,7,0,12,14,1,0,8,4,5,277.0,11.028541666666667,11.028541666666667,11.028541666666667,428.02506944444445,501.96256944444445,,,
registeretsiger,2291,2771,1547559416,0,27,124,15,15,46,154,2,13,128,80,19,63,97,145,12,4,52,56,1,33,14,29,166,2,0,4,30,9,67,78,9,18,70,31,21,905.0,186.08199074074074,186.08199074074074,394.0403240740741,410.98476851851854,1391.040324074074,1565.040324074074,1573.9361574074073,1810.0507407407408
DeaphetS,2290,2340,1406177073,0,25,80,25,13,43,142,5,4,117,50,28,42,72,101,16,1,59,58,4,21,6,15,142,1,0,3,27,6,57,63,16,24,47,55,13,1939.0,0.4482291666666667,0.4482291666666667,22.448229166666668,1236.4725347222222,1501.4100347222222,2270.420451388889,,
Su_Zipei,2290,2290,1585396598,0,5,28,7,5,12,53,1,1,61,33,12,17,38,35,4,2,27,20,2,12,6,11,54,0,0,7,13,6,31,26,2,5,25,16,11,649.0,316.10997685185185,324.10997685185185,347.00581018518517,909.0058101851852,1085.0058101851853,,,
Survivor_loser,2290,2290,1648806842,0,1,2,0,1,4,5,1,0,4,1,2,1,2,4,1,0,4,1,0,0,0,1,3,0,0,1,1,0,1,5,1,0,0,2,0,66.0,471.19511574074073,471.19511574074073,482.19511574074073,547.1951157407408,791.0076157407408,,,
dantrag,2290,2290,1462913243,0,13,36,7,4,19,29,1,4,29,14,6,5,26,39,1,0,22,22,0,6,5,4,39,0,0,0,5,0,22,18,6,11,8,11,8,732.0,0.8247337962962963,0.8247337962962963,14.762233796296297,88.72056712962963,1194.7066782407408,,,
icube,2290,2290,1488368034,0,3,22,8,3,8,24,0,2,12,8,2,7,15,18,6,0,9,9,1,3,5,5,22,0,0,1,5,1,4,9,5,10,9,6,4,1533.0,14.146597222222223,14.146597222222223,359.91743055555554,832.0632638888889,1788.125763888889,,,
jefrai,2290,2455,1536327893,0,6,16,3,0,7,14,2,4,9,6,1,2,8,15,1,0,11,7,0,2,3,4,11,1,0,0,4,0,4,7,2,5,4,1,1,249.0,51.07646990740741,51.07646990740741,51.07646990740741,51.07646990740741,267.03480324074076,407.8056365740741,754.0348032407408,
Degalat57,2289,2464,1516430059,0,5,24,1,1,5,27,1,4,22,8,7,6,16,34,3,0,19,14,2,2,0,5,27,1,0,0,2,0,14,13,0,8,8,4,3,570.0,18.444918981481482,18.444918981481482,95.45880787037036,191.0699189814815,308.0421412037037,644.187974537037,1032.3338078703703,
FattyPenguin,2289,2413,1302705011,1,15,16,16,6,16,30,0,3,54,22,12,11,24,24,8,0,27,26,0,7,7,8,75,1,1,8,9,1,23,28,4,3,15,7,6,553.0,2.0207060185185184,2.0207060185185184,2.0207060185185184,37.02070601851852,443.04153935185184,697.0415393518518,992.0415393518518,
G.E.M.,2289,2289,1501415023,0,12,21,10,4,21,37,2,0,38,20,10,19,15,26,6,2,15,21,0,7,1,8,57,0,0,1,5,0,22,22,3,4,19,10,7,732.0,199.0147800925926,199.0147800925926,199.0147800925926,675.1189467592593,738.1189467592593,,,
MermaidMolester,2289,2289,1524676713,0,11,18,1,8,15,43,1,2,36,18,2,12,16,35,1,0,20,17,0,13,1,5,62,1,0,2,11,3,23,29,4,6,24,7,5,763.0,0.011423611111111112,0.011423611111111112,1029.886423611111,1815.6572569444445,2102.8933680555556,,,
guagua0407,2289,2289,1601446751,0,15,20,5,6,20,55,3,3,79,42,8,28,35,42,8,1,28,27,1,25,7,7,64,3,0,1,15,1,43,29,3,5,22,11,8,503.0,91.34431712962963,547.3443171296296,759.1186226851852,950.240150462963,1089.3443171296296,,,
heaksicn,2289,2302,1614776068,1,47,122,24,14,68,185,6,22,222,105,33,75,123,174,22,4,94,87,3,43,51,28,254,6,0,12,51,7,109,123,14,30,85,63,21,1663.0,314.96564814814815,333.06981481481483,515.0489814814815,911.0698148148148,1032.0802314814814,1081.069814814815,,
krzysztov,2289,2289,1565440320,0,3,7,0,1,5,9,0,0,9,10,1,2,9,13,0,0,6,4,0,5,0,4,12,0,0,0,8,0,7,5,0,3,3,2,1,234.0,329.09236111111113,342.0854166666667,354.0854166666667,1043.0854166666666,1119.0854166666666,,,
ll931110,2289,2372,1273500867,0,8,25,10,3,24,49,1,5,53,20,6,17,35,36,5,1,19,23,0,11,10,14,70,1,2,1,15,1,23,25,15,5,16,14,7,712.0,153.9482986111111,153.9482986111111,153.9482986111111,361.0316319444444,375.0316319444444,781.0524652777777,,
Hencecho,2288,2288,1635135587,0,7,18,2,4,10,43,0,2,63,29,12,19,21,23,3,0,8,12,1,11,4,9,67,2,0,5,12,2,24,16,2,4,19,18,6,262.0,166.4272337962963,236.4272337962963,279.40640046296295,292.4272337962963,333.32306712962964,,,
buyolitsez,2288,2288,1537266382,1,3,3,0,0,2,3,0,1,11,3,3,1,7,3,1,0,3,2,0,3,0,1,10,1,0,0,4,0,7,4,0,0,0,1,1,662.0,53.172662037037036,238.17266203703704,403.0268287037037,791.1726620370371,791.1726620370371,,,
dkhve,2288,2363,1624332513,0,20,39,1,1,19,76,4,0,62,29,14,22,22,70,13,2,47,41,0,16,0,7,65,0,0,4,11,3,30,61,5,12,32,19,3,737.0,25.4628125,25.4628125,40.4628125,40.4628125,117.31697916666667,868.4628125,,
endorsi,2288,2314,1601427960,0,1,2,0,0,0,5,0,0,2,3,2,1,3,5,1,0,2,1,0,0,0,0,5,0,0,1,1,0,3,5,0,0,3,1,0,54.0,80.35347222222222,80.35347222222222,80.35347222222222,194.56180555555557,211.56180555555557,211.56180555555557,,
lzyrapx,2288,2452,1492169869,0,2,5,1,1,1,13,1,0,11,5,2,3,4,8,0,1,5,5,0,4,0,2,14,1,0,0,2,1,4,5,0,1,6,5,1,143.0,145.05359953703703,145.05359953703703,145.05359953703703,173.8105439814815,184.97721064814814,500.2063773148148,664.0813773148149,
mmkh,2288,2288,1512887344,0,3,5,0,0,2,29,0,1,23,10,8,12,12,9,5,1,6,7,1,7,4,4,22,0,0,1,4,18,7,10,0,1,12,11,3,185.0,6.212453703703703,6.212453703703703,6.212453703703703,6.212453703703703,353.3374537037037,,,
qingczha,2288,2366,1441531894,0,23,64,12,13,43,135,4,4,171,76,43,56,89,94,31,3,55,64,3,25,16,24,164,2,1,22,43,12,88,73,9,13,43,59,19,2010.0,4.290578703703703,4.290578703703703,21.978078703703705,242.2732175925926,440.98155092592594,1125.2107175925926,,
tundra,2288,2288,1358233982,1,8,17,5,1,9,31,2,3,44,29,8,8,24,25,3,0,17,18,0,6,0,1,55,1,1,2,9,1,30,17,3,1,12,13,9,922.0,605.3451157407408,605.3451157407408,1043.3902546296297,1300.286087962963,1461.411087962963,,,
vwxyz0,2288,2324,1617479885,1,17,29,6,9,26,84,1,2,86,42,8,36,51,52,9,7,34,36,2,17,14,16,115,7,0,2,20,7,48,55,5,10,40,30,5,814.0,75.77563657407407,75.77563657407407,77.58813657407407,82.81730324074074,116.77563657407407,1183.775636574074,,
zaixianmojulao,2288,2288,1575521234,0,4,8,0,0,4,11,1,1,15,11,1,3,9,10,0,1,4,10,0,5,1,0,13,0,0,1,5,0,11,10,0,3,5,2,1,167.0,1185.5331712962964,1207.4081712962964,1207.4081712962964,1291.1373379629629,1389.4081712962964,,,
FengjianZhu,2287,2287,1691209381,0,0,0,0,0,1,3,0,0,1,3,0,1,1,3,0,0,1,0,0,2,0,0,3,0,0,0,1,1,2,1,0,1,1,1,0,33.0,2.424988425925926,2.424988425925926,10.424988425925926,10.424988425925926,78.11248842592593,,,
Mackerel_Pike,2287,2290,1500814368,0,24,41,14,11,36,90,4,5,116,46,28,36,76,59,24,1,37,38,1,26,18,12,144,1,2,14,25,11,46,51,5,7,33,26,16,904.0,1.0709722222222222,215.86263888888888,525.0709722222222,920.0709722222222,1102.0709722222223,,,
Scorpioch,2287,2287,1571485804,0,1,13,2,2,2,10,0,0,11,3,3,5,7,14,2,0,5,4,1,2,1,1,11,1,0,1,2,1,5,7,1,1,2,2,1,83.0,39.08328703703704,39.08328703703704,39.08328703703704,248.0937037037037,436.11453703703705,,,
TrendBattleswillwinioi,2287,2294,1691243561,0,1,0,0,0,1,12,0,0,5,2,4,2,3,9,2,0,5,3,0,4,0,1,9,0,0,1,3,1,3,9,2,1,4,3,1,121.0,26.029386574074074,26.029386574074074,26.029386574074074,51.029386574074074,202.02938657407407,,,
fishy15,2287,2287,1501814690,0,17,66,12,9,36,81,2,6,77,51,13,32,54,84,12,2,52,40,2,17,8,15,86,3,0,4,19,2,43,52,7,15,35,22,12,1221.0,135.15983796296297,135.15983796296297,513.4931712962963,884.4723379629629,1031.4931712962964,,,
gravitsapa,2287,2287,1541675776,1,13,38,1,2,24,36,3,2,45,16,8,13,24,55,3,0,39,19,0,8,0,1,46,1,0,2,7,1,27,35,5,7,10,11,9,633.0,254.17967592592592,254.17967592592592,254.17967592592592,290.13800925925926,2137.1380092592594,,,
Adhami,2286,2286,1491748241,0,7,9,4,1,10,23,1,2,35,17,3,11,15,23,2,1,15,18,1,4,1,3,29,0,0,0,6,0,18,11,0,4,8,9,4,691.0,106.00299768518518,106.00299768518518,394.02383101851854,653.0029976851852,665.0446643518519,,,
ChthollyNotaSeniorious,2286,2398,1525877189,0,14,44,9,10,18,77,1,4,64,39,10,15,38,48,4,1,12,20,0,26,4,22,66,2,0,4,15,12,27,26,9,20,40,20,11,482.0,3.7628587962962965,3.7628587962962965,257.99202546296294,422.0128587962963,906.8461921296297,934.6795254629629,,
PixelCat,2286,2318,1585315223,0,11,26,6,1,21,39,3,0,51,23,8,14,27,43,3,0,23,19,0,12,2,5,44,0,0,1,12,2,23,22,4,6,12,6,7,706.0,7.0518171296296295,7.0518171296296295,7.0518171296296295,135.05181712962963,165.05181712962963,1380.0518171296296,,
Traumatize,2286,2286,1646536650,0,16,40,3,3,24,77,1,10,101,55,18,23,55,71,13,6,35,35,0,28,18,24,130,0,0,8,23,4,41,35,4,11,34,22,8,675.0,833.2413194444445,833.2413194444445,833.2413194444445,842.4704861111111,945.1163194444445,,,
purupurupururin,2286,2286,1723559947,0,1,0,0,0,0,2,0,0,2,0,0,0,2,5,0,0,4,3,0,0,0,0,4,0,0,0,0,1,1,2,1,0,1,0,1,42.0,11.997141203703704,31.997141203703702,31.997141203703702,37.997141203703706,73.9971412037037,,,
qdd,2286,2286,1386943862,0,9,21,7,2,14,24,0,2,29,11,5,7,12,31,4,0,15,12,2,4,2,3,25,3,0,1,8,1,14,18,2,4,5,6,2,943.0,1435.0166435185185,1435.0166435185185,1613.0166435185185,1997.9958101851853,2136.787476851852,,,
zmy_,2286,2342,1584014720,0,2,6,1,2,2,9,0,1,7,2,2,2,4,5,2,1,5,1,0,1,1,1,6,1,0,0,3,0,4,3,1,1,2,3,0,70.0,219.87476851851852,219.87476851851852,219.87476851851852,226.08310185185186,1009.1039351851852,1416.1108796296296,,
CYJian,2285,2350,1532251079,0,6,26,6,5,10,41,2,3,39,22,4,10,21,16,3,3,8,12,1,4,2,9,31,0,0,3,9,4,16,12,0,2,13,11,6,202.0,7.956261574074074,7.956261574074074,56.94931712962963,228.9909837962963,420.0534837962963,594.0118171296297,,
Iftekhar_Hakim_K,2285,2304,1512924653,1,40,77,17,7,58,118,7,5,135,64,40,38,53,110,18,1,67,74,1,22,8,18,164,2,0,16,31,5,64,74,4,12,63,35,23,2400.0,85.92646990740741,204.90563657407407,449.9264699074074,864.9125810185185,951.6729976851852,1314.9056365740742,,
Kukarekus,2285,2314,1513749820,1,11,22,1,1,7,20,2,1,18,3,5,11,13,14,4,0,8,10,2,8,1,2,13,1,0,3,1,1,10,11,3,5,5,7,3,330.0,456.3967592592593,456.3967592592593,577.3967592592593,810.3550925925925,842.3550925925925,1112.3550925925927,,
SampsonYW,2285,2285,1581266104,0,18,45,5,4,29,79,2,3,114,52,24,29,49,75,18,4,38,37,1,12,9,20,94,1,0,15,24,7,39,46,4,9,36,25,9,964.0,23.91662037037037,23.91662037037037,384.8749537037037,538.9166203703704,1572.7291203703703,,,
cqbztl,2285,2285,1645190404,0,13,24,6,15,13,67,0,3,93,33,18,20,36,38,14,1,20,32,5,25,9,13,100,4,0,16,21,8,31,19,6,3,39,28,7,404.0,164.05203703703702,167.05203703703702,273.05203703703705,596.8228703703704,699.052037037037,,,
jtnydv25,2285,2675,1449685763,1,22,84,22,19,45,162,4,10,130,84,25,52,98,96,22,2,48,51,5,31,16,31,176,3,0,12,35,18,78,64,14,21,79,60,20,1474.0,158.92056712962963,158.92056712962963,190.92056712962963,217.92056712962963,518.878900462963,708.8372337962963,744.816400462963,1804.8372337962962
otoshigo,2285,2285,1631287005,0,8,14,2,0,3,31,0,1,22,10,5,15,11,22,2,0,18,10,1,9,0,2,27,1,0,1,9,0,16,17,0,3,18,7,3,530.0,32.97100694444445,32.97100694444445,48.97100694444445,254.97100694444444,441.0126736111111,,,
prins,2285,2316,1484752476,0,22,78,13,5,37,89,7,3,81,50,21,36,49,103,13,2,73,49,2,24,5,8,116,2,0,6,19,2,52,74,8,24,34,19,12,1799.0,0.9933333333333333,0.9933333333333333,707.9725,1125.0141666666666,1282.9725,2683.9725,,
stoDiwanulorz,2285,2336,1648708678,0,3,11,2,0,3,8,0,0,10,4,1,3,8,9,1,0,5,2,1,2,0,6,11,0,0,0,5,0,9,4,3,3,9,4,0,100.0,8.331273148148147,206.14377314814814,206.14377314814814,570.1854398148148,730.3312731481482,730.3312731481482,,
1021839,2284,2348,1485333569,0,5,13,1,0,5,15,1,1,17,14,4,6,9,13,2,0,14,12,0,5,1,3,20,0,0,0,6,2,8,9,2,3,8,5,3,282.0,328.2885532407407,328.2885532407407,328.2885532407407,336.3302199074074,409.2885532407407,704.2468865740741,,
ArSarapkin,2284,2329,1590599544,1,3,7,1,2,6,11,2,0,16,11,3,6,9,11,3,0,8,8,0,2,0,1,18,0,0,0,3,0,9,13,1,1,2,2,1,231.0,778.8490277777778,781.8906944444444,833.8906944444444,1032.8906944444445,1144.8906944444445,1372.8906944444445,,
Error_Yuan,2284,2291,1651498346,0,11,40,3,6,21,68,2,1,47,27,6,14,21,53,6,1,37,23,0,13,2,8,71,1,0,2,10,3,25,45,7,7,32,17,4,850.0,110.04344907407408,110.04344907407408,239.04344907407406,252.90456018518518,572.0538657407408,,,
Kihihihi,2284,2372,1602159700,1,31,53,4,4,36,66,3,4,90,46,22,30,46,82,14,1,45,44,3,18,6,9,89,3,1,4,29,1,46,54,4,12,29,22,13,1085.0,272.0925925925926,276.07175925925924,386.0925925925926,556.0925925925926,688.0925925925926,1075.0925925925926,,
Nullptrs,2284,2284,1706508148,0,6,14,7,7,10,38,1,0,26,12,10,12,16,24,8,2,12,18,1,7,2,4,39,2,0,5,6,3,17,24,2,9,18,16,4,662.0,25.355925925925927,36.35592592592592,61.35592592592592,109.35592592592593,181.35592592592593,,,
RecursiveCo,2284,2284,1668268704,0,9,15,0,1,12,23,1,0,38,19,6,10,20,35,2,0,21,20,1,10,0,1,32,2,0,1,10,0,23,20,1,2,5,8,4,741.0,36.942083333333336,104.93166666666667,147.9490277777778,240.94208333333333,377.9525,,,
gabriel88766,2284,2284,1598717835,0,41,68,12,9,48,167,7,6,156,70,26,52,79,122,20,5,78,85,5,27,8,14,180,1,0,9,36,8,88,120,1,18,65,70,20,2627.0,49.69982638888889,58.92899305555556,81.92899305555555,924.9289930555556,1190.9289930555556,,,
olliH,2284,2363,1498393269,0,0,5,1,1,2,5,0,0,1,0,0,1,0,2,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,1,2,2,0,1,0,180.0,54.11378472222222,54.11378472222222,187.1380902777778,1052.0096180555556,1066.0929513888889,1089.0998958333332,,
sgc_KrySF,2284,2284,1520752622,0,16,30,6,6,10,47,1,1,48,24,14,22,22,44,9,1,23,27,1,16,1,10,66,3,1,5,8,2,24,24,4,5,23,18,3,276.0,196.24164351851852,196.24164351851852,1646.3041435185185,1687.1166435185185,1715.3041435185185,,,
GoreMneGore,2283,2283,1584619362,0,1,3,0,1,1,3,0,0,3,0,3,0,3,3,2,0,2,1,0,0,0,0,1,0,0,1,1,0,1,1,0,0,0,0,1,39.0,371.1057638888889,371.1057638888889,451.14743055555556,451.14743055555556,456.1057638888889,,,
Oshwiciqwqq,2283,2299,1503540318,0,2,18,6,4,8,31,1,1,31,20,3,11,13,12,2,3,6,13,0,33,1,2,49,0,0,0,5,1,13,10,1,3,36,12,1,388.0,532.4789583333334,532.4789583333334,532.4789583333334,1373.4997916666666,1409.458125,,,
Serendipity__,2283,2283,1606898493,0,60,129,8,8,70,219,6,11,200,109,31,73,104,217,24,5,134,108,3,45,9,17,235,6,0,6,50,7,140,170,16,30,90,67,31,2371.0,43.24545138888889,48.24545138888889,58.24545138888889,557.2454513888889,780.2454513888889,,,
poopi,2283,2463,1266759857,1,4,28,8,1,14,28,2,2,10,11,3,7,14,28,5,0,19,13,0,5,3,8,29,0,2,0,1,0,17,17,7,0,14,11,3,890.0,13.927581018518518,13.927581018518518,53.08383101851852,363.09424768518517,480.05258101851854,1785.8025810185186,1812.1359143518519,
CCF_NOI,2282,2350,1673348364,0,4,0,1,0,4,9,0,0,6,2,1,2,6,7,0,0,2,2,0,1,0,2,10,0,0,0,1,0,4,8,0,0,2,1,3,73.0,24.149722222222223,24.149722222222223,88.1288888888889,88.1288888888889,107.14972222222222,251.1497222222222,,
Carpenters_Cat,2282,2282,1595401627,0,8,11,0,0,7,17,0,0,14,7,0,2,11,21,0,0,10,5,0,2,0,2,16,1,0,0,5,0,9,12,0,2,6,6,1,223.0,242.25894675925926,242.25894675925926,250.3110300925926,268.3110300925926,1084.3110300925925,,,
EthanKim8683,2282,2282,1646430908,1,80,255,28,16,129,297,15,17,291,159,55,93,215,322,37,5,159,145,3,63,17,32,385,9,0,11,73,4,197,181,14,27,161,95,60,2573.0,224.69435185185185,232.41310185185185,311.55546296296296,530.6943518518518,939.7360185185186,,,
Jackie1578,2282,2282,1523459371,0,4,1,0,0,3,6,1,1,6,4,1,4,2,7,0,0,5,2,0,0,1,1,6,0,0,0,2,0,2,3,0,1,3,2,0,106.0,17.920474537037038,105.99686342592592,148.9760300925926,436.08019675925925,436.08019675925925,,,
