handle,rating,maxRating,regTime,schedules,two pointers,constructive algorithms,geometry,matrices,sortings,math,ternary search,graph matchings,data structures,trees,strings,bitmasks,graphs,greedy,hashing,meet-in-the-middle,implementation,binary search,chinese remainder theorem,divide and conquer,flows,probabilities,dp,2-sat,expression parsing,string suffix structures,dsu,fft,dfs and similar,brute force,games,interactive,combinatorics,number theory,shortest paths,all,pupil,spe,exp,cm,m,im,gm,igm
Um_nik,3396,3663,1348065816,0,75,223,50,23,97,362,11,30,318,180,55,128,224,284,44,11,174,165,6,66,40,70,398,7,1,16,67,29,190,194,44,55,157,107,55,4371.0,0.042638888888888886,0.042638888888888886,5.032222222222222,147.03222222222223,549.0322222222222,564.0391666666667,676.0947222222222,927.0773611111111
ksun48,3373,3654,1325801676,1,45,248,55,28,91,325,7,27,257,154,39,84,189,252,25,8,140,123,3,58,26,52,318,10,0,4,69,23,156,147,31,56,127,77,40,3423.0,2.6981944444444443,2.6981944444444443,2.6981944444444443,373.7190277777778,646.7190277777778,1213.7398611111112,1247.6148611111112,1909.7433333333333
djq_cpp,3368,3486,1440227227,0,17,48,13,8,24,80,0,4,95,51,25,23,55,62,17,1,35,27,4,20,5,8,82,4,2,9,20,8,44,36,7,6,30,23,7,744.0,145.39436342592592,145.39436342592592,332.2485300925926,405.29019675925923,746.2415856481482,908.3110300925925,1044.2901967592593,1231.3179745370371
turmax,3352,3352,1535301434,0,78,217,32,22,116,327,11,20,256,141,49,98,171,295,31,9,162,155,5,65,17,46,322,5,0,11,73,24,157,200,27,56,150,106,49,2256.0,0.9984490740740741,0.9984490740740741,193.68594907407407,319.91511574074076,392.8942824074074,477.9359490740741,489.8942824074074,734.9151157407407
Kevin114514,3341,3341,1548078679,0,40,132,16,14,56,212,3,16,229,128,38,60,125,166,22,6,89,95,1,61,26,35,262,5,1,18,55,25,107,120,13,30,108,54,26,1517.0,16.98866898148148,16.98866898148148,377.0095023148148,556.0303356481481,748.0303356481481,1013.0303356481481,1097.0303356481481,1439.0303356481481
Rewinding,3320,3659,1518745678,0,20,107,31,12,39,119,3,14,114,69,21,34,90,99,9,5,48,46,3,24,10,24,120,3,0,6,28,12,61,65,13,23,45,29,19,960.0,0.5534953703703703,0.5534953703703703,0.5534953703703703,1.345162037037037,72.47710648148148,72.47710648148148,135.5118287037037,310.49099537037034
LJC00118,3305,3305,1523278605,1,51,131,29,18,57,202,7,18,263,122,39,68,131,173,22,9,84,97,2,61,15,44,232,5,1,17,52,25,106,97,12,39,77,61,32,1401.0,27.047395833333333,27.047395833333333,35.06822916666667,116.07517361111111,131.06822916666667,265.06822916666664,332.8390625,555.0682291666667
Syloviaely,3274,3274,1412401120,0,2,14,5,3,7,25,0,1,30,20,11,9,23,17,5,1,9,11,1,8,1,5,35,1,0,4,9,5,22,15,5,1,12,10,4,293.0,2.410648148148148,2.410648148148148,2.410648148148148,15.139814814814814,87.38981481481481,126.47314814814816,136.45578703703703,266.3550925925926
conqueror_of_tourist,3260,3260,1410909008,0,22,80,10,4,32,108,3,5,55,17,15,29,30,87,7,1,39,46,0,14,3,17,90,1,0,1,12,8,22,40,8,23,47,35,6,1017.0,1.680462962962963,1.680462962962963,123.57629629629629,1571.725601851852,1941.6214351851852,2117.649212962963,2117.649212962963,2160.6422685185184
hos.lyric,3237,3338,1267523870,0,38,158,46,25,75,270,4,16,187,121,44,66,145,177,30,8,104,98,1,58,24,52,286,4,3,17,60,34,116,126,26,33,115,58,30,1738.0,5.084837962962963,5.084837962962963,5.084837962962963,114.20983796296296,231.00150462962964,381.2515046296296,413.2202546296296,690.8765046296296
disorientation,3219,3219,1643042471,0,14,25,1,4,10,56,1,4,56,26,6,21,21,51,10,1,26,30,3,18,2,4,59,2,0,2,8,5,29,49,7,5,22,25,6,376.0,12.912372685185185,12.912372685185185,26.912372685185186,26.912372685185186,29.728344907407408,29.728344907407408,29.728344907407408,29.728344907407408
