id,contestId,creationTimeSeconds,relativeTimeSeconds,problem,author,programmingLanguage,verdict,testset,passedTestCount,timeConsumedMillis,memoryConsumedBytes,points
67242925,1278,1576773638,2147483647,"{'contestId': 1278, 'index': 'F', 'name': 'Cards', 'type': 'PROGRAMMING', 'rating': 2600, 'tags': ['combinatorics', 'dp', 'math', 'number theory', 'probabilities']}","{'contestId': 1278, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1576766100}",C++17 (GCC 7-32),OK,TESTS,14,607,7475200,
67237107,1278,1576771944,5844,"{'contestId': 1278, 'index': 'C', 'name': 'Berry Jam', 'type': 'PROGRAMMING', 'rating': 1700, 'tags': ['data structures', 'dp', 'greedy', 'implementation']}","{'contestId': 1278, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1576766100}",C++17 (GCC 7-32),OK,TESTS,12,46,3993600,
67235364,1278,1576771472,5372,"{'contestId': 1278, 'index': 'E', 'name': 'Tests for problem D', 'type': 'PROGRAMMING', 'rating': 2200, 'tags': ['constructive algorithms', 'dfs and similar', 'divide and conquer', 'trees']}","{'contestId': 1278, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1576766100}",C++17 (GCC 7-32),OK,TESTS,66,655,42393600,
67227238,1278,1576769387,3287,"{'contestId': 1278, 'index': 'D', 'name': 'Segment Tree', 'type': 'PROGRAMMING', 'rating': 2100, 'tags': ['data structures', 'dsu', 'graphs', 'trees']}","{'contestId': 1278, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1576766100}",C++17 (GCC 7-32),OK,TESTS,118,623,36864000,
67219375,1278,1576767642,1542,"{'contestId': 1278, 'index': 'C', 'name': 'Berry Jam', 'type': 'PROGRAMMING', 'rating': 1700, 'tags': ['data structures', 'dp', 'greedy', 'implementation']}","{'contestId': 1278, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1576766100}",C++17 (GCC 7-32),WRONG_ANSWER,TESTS,9,46,3993600,
67215575,1278,1576766888,788,"{'contestId': 1278, 'index': 'B', 'name': 'A and B', 'type': 'PROGRAMMING', 'rating': 1500, 'tags': ['greedy', 'math']}","{'contestId': 1278, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1576766100}",C++17 (GCC 7-32),OK,TESTS,11,46,819200,
67212905,1278,1576766372,272,"{'contestId': 1278, 'index': 'A', 'name': 'Shuffle Hashing', 'type': 'PROGRAMMING', 'rating': 1000, 'tags': ['brute force', 'implementation', 'strings']}","{'contestId': 1278, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'startTimeSeconds': 1576766100}",C++17 (GCC 7-32),OK,TESTS,14,31,204800,
67141081,1266,1576651700,2147483647,"{'contestId': 1266, 'index': 'E', 'name': 'Spaceship Solitaire', 'type': 'PROGRAMMING', 'points': 2000.0, 'rating': 2100, 'tags': ['data structures', 'greedy', 'implementation']}","{'contestId': 1266, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'PRACTICE', 'ghost': False, 'startTimeSeconds': 1576595100}",C++17 (GCC 7-32),OK,TESTS,69,546,5836800,
67118594,1266,1576603860,8760,"{'contestId': 1266, 'index': 'E', 'name': 'Spaceship Solitaire', 'type': 'PROGRAMMING', 'points': 2000.0, 'rating': 2100, 'tags': ['data structures', 'greedy', 'implementation']}","{'contestId': 1266, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 129, 'startTimeSeconds': 1576595100}",C++17 (GCC 7-32),WRONG_ANSWER,PRETESTS,1,15,1638400,
67117187,1266,1576603380,8280,"{'contestId': 1266, 'index': 'D', 'name': 'Decreasing Debts', 'type': 'PROGRAMMING', 'points': 1750.0, 'rating': 2000, 'tags': ['constructive algorithms', 'data structures', 'graphs', 'greedy', 'implementation', 'math', 'two pointers']}","{'contestId': 1266, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 129, 'startTimeSeconds': 1576595100}",C++17 (GCC 7-32),OK,TESTS,83,358,6348800,
67102648,1266,1576598963,3863,"{'contestId': 1266, 'index': 'D', 'name': 'Decreasing Debts', 'type': 'PROGRAMMING', 'points': 1750.0, 'rating': 2000, 'tags': ['constructive algorithms', 'data structures', 'graphs', 'greedy', 'implementation', 'math', 'two pointers']}","{'contestId': 1266, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 129, 'startTimeSeconds': 1576595100}",C++17 (GCC 7-32),TIME_LIMIT_EXCEEDED,PRETESTS,11,2000,54272000,
67088650,1266,1576596590,1490,"{'contestId': 1266, 'index': 'C', 'name': 'Diverse Matrix', 'type': 'PROGRAMMING', 'points': 1250.0, 'rating': 1400, 'tags': ['constructive algorithms', 'greedy', 'math', 'number theory']}","{'contestId': 1266, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 129, 'startTimeSeconds': 1576595100}",C++17 (GCC 7-32),OK,TESTS,31,92,0,
67080439,1266,1576595686,586,"{'contestId': 1266, 'index': 'B', 'name': 'Dice Tower', 'type': 'PROGRAMMING', 'points': 750.0, 'rating': 1000, 'tags': ['constructive algorithms', 'math']}","{'contestId': 1266, 'members': [{'handle': '-is-this-fft-'}], 'participantType': 'CONTESTANT', 'ghost': False, 'room': 129, 'startTimeSeconds': 1576595100}",C++17 (GCC 7-32),OK,TESTS,6,31,0,
