contestId,index,name,tags,rating,solved
2014,D,Robert Hood and Mrs Hood,"['brute force', 'data structures', 'greedy', 'sortings']",1400.0,362
2014,C,Robin Hood in Town,"['binary search', 'greedy', 'math']",1100.0,385
2014,B,Robin Hood and the Major Oak,['math'],800.0,394
2014,A,Robin Helps,"['greedy', 'implementation']",800.0,405
2013,F2,Game in Tree (Hard Version),"['binary search', 'data structures', 'trees']",3500.0,45
2013,F1,Game in Tree (Easy Version),"['binary search', 'brute force', 'data structures', 'dp', 'games', 'greedy', 'implementation', 'trees']",2700.0,221
2013,E,Prefix GCD,"['brute force', 'dp', 'greedy', 'math', 'number theory']",2200.0,659
2013,D,Minimize the Difference,"['binary search', 'greedy']",1900.0,667
2013,C,Password Cracking,"['constructive algorithms', 'interactive', 'strings']",1400.0,695
2013,B,Battle for Survive,"['constructive algorithms', 'greedy', 'math']",900.0,692
2013,A,Zhan's Blender,"['constructive algorithms', 'math']",800.0,701
2010,C2,Message Transmission Error (hard version),"['hashing', 'string suffix structures', 'strings', 'two pointers']",1700.0,172
2010,C1,Message Transmission Error (easy version),"['brute force', 'strings']",1400.0,157
2010,B,Three Brothers,"['brute force', 'implementation', 'math']",800.0,186
2010,A,Alternating Sum of Numbers,"['brute force', 'implementation', 'math']",800.0,187
2009,G3,Yunli's Subarray Queries (extreme version),"['data structures', 'dp', 'implementation']",2700.0,142
2009,G2,Yunli's Subarray Queries (hard version),"['binary search', 'data structures', 'dp']",2200.0,305
2009,G1,Yunli's Subarray Queries (easy version),"['binary search', 'data structures', 'two pointers']",1900.0,379
2009,F,Firefly's Queries,"['bitmasks', 'data structures', 'flows', 'math']",1700.0,333
2009,E,Klee's SUPER DUPER LARGE Array!!!,"['binary search', 'math', 'ternary search']",1400.0,355
2009,D,Satyam and Counting,"['geometry', 'math']",1400.0,344
2009,C,The Legend of Freya the Frog,"['implementation', 'math']",1100.0,359
2009,B,osu!mania,"['brute force', 'implementation']",800.0,374
2009,A,Minimize!,"['brute force', 'math']",800.0,395
2008,H,Sakurako's Test,"['binary search', 'brute force', 'greedy', 'math', 'number theory']",2100.0,456
2008,G,Sakurako's Task,"['binary search', 'greedy', 'math', 'number theory']",1800.0,424
2008,F,Sakurako's Box,"['combinatorics', 'math', 'number theory']",1400.0,414
2008,E,Alternating String,"['brute force', 'data structures', 'dp', 'greedy', 'implementation', 'strings']",1500.0,373
2008,D,Sakurako's Hobby,"['dp', 'dsu', 'graphs', 'math']",1100.0,389
2008,C,Longest Good Array,"['binary search', 'brute force', 'math']",800.0,402
2008,B,Square or Not,"['brute force', 'math', 'strings']",800.0,397
2008,A,Sakurako's Exam,"['brute force', 'constructive algorithms', 'greedy', 'math']",800.0,415
2007,C,Dora and C++,"['math', 'number theory']",1500.0,299
